District_name,Learning_Modality,Operational_Schools,Student_Count,City,State,Start_date
Tehachapi Unified,In Person,6,4236,Tehachapi,CA,2022-12-25
Temple City Unified,In Person,8,5617,Temple City,CA,2022-12-25
Templeton Unified,In Person,7,2424,Templeton,CA,2022-12-25
Terra Bella Union Elementary,In Person,2,831,Terra Bella,CA,2022-12-25
Thermalito Union Elementary,In Person,5,1550,Oroville,CA,2022-12-25
Three Rivers Union Elementary,In Person,1,133,Three Rivers,CA,2022-12-25
Torrance Unified,In Person,32,23100,Torrance,CA,2022-12-25
Travis Unified,In Person,10,5455,Fairfield,CA,2022-12-25
Tres Pinos Union Elementary,In Person,1,91,Tres Pinos,CA,2022-12-25
Trinidad Union Elementary,In Person,1,200,Trinidad,CA,2022-12-25
Trinity Center Elementary,In Person,1,17,Trinity Center,CA,2022-12-25
Trona Joint Unified,In Person,2,264,Trona,CA,2022-12-25
Tulare City,In Person,17,9595,Tulare,CA,2022-12-25
Tulare Joint Union High,In Person,7,5686,Tulare,CA,2022-12-25
Tulelake Basin Joint Unified,In Person,3,404,Tulelake,CA,2022-12-25
Tustin Unified,In Person,28,23521,Tustin,CA,2022-12-25
Two Rock Union,In Person,1,164,Petaluma,CA,2022-12-25
Golden Plains Unified,In Person,6,1611,San Joaquin,CA,2022-12-25
Val Verde Unified,In Person,23,19940,Perris,CA,2022-12-25
Aromas - San Juan Unified,In Person,3,1028,San Juan Bautista,CA,2022-12-25
Cheyenne County School District No. Re-5,In Person,2,197,CHEYENNE WELLS,CO,2022-12-25
Yuma 1 School District,In Person,4,903,YUMA,CO,2022-12-25
Wray RD-2 School District,In Person,2,759,WRAY,CO,2022-12-25
Idalia RJ-3 School District,In Person,2,200,IDALIA,CO,2022-12-25
Liberty J-4 School District,In Person,1,68,JOES,CO,2022-12-25
Academy School District No. 20 in the county of El Paso an,In Person,40,26603,COLORADO SPRINGS,CO,2022-12-25
School District N. 14 in the county of Adams & State of Colo,In Person,13,6610,COMMERCE CITY,CO,2022-12-25
Agate School District No. 300,In Person,2,44,AGATE,CO,2022-12-25
Alamosa School District No. Re-11J,In Person,5,2298,ALAMOSA,CO,2022-12-25
Archuleta County School District No. 50 Jt,In Person,5,1742,PAGOSA SPRINGS,CO,2022-12-25
Arickaree School District No. R-2,In Person,2,114,ANTON,CO,2022-12-25
Arriba-Flagler Consolidated School District No. 20,In Person,1,152,FLAGLER,CO,2022-12-25
Aspen School District No. 1 in the county of Pitkin and Sta,In Person,5,1653,ASPEN,CO,2022-12-25
Weld County School District No. Re-9,In Person,3,943,AULT,CO,2022-12-25
